qid,source,page,difficulty,domain_code,domain,skill_code,skill,external_id,ibn,uid
1778bb58,medium,166,M,H,Algebra,H.C.,Linear equations in two variables,889468ea-c2fa-42b7-8fef-587f8908e599,,743fc3be-c643-42b0-b352-1cf83ac5c650
880d9202,medium,167,M,H,Algebra,H.B.,Linear functions,,104507-DC,74c82e26-85c1-4f18-ae26-96b17314f2af
24ea6c63,medium,168,M,H,Algebra,H.C.,Linear equations in two variables,1614dc03-91cb-48e9-afd3-ff0df97be729,,74e3018f-9459-448d-b188-d4c4881821ef
569e4b58,medium,169,M,H,Algebra,H.B.,Linear functions,1b004c3e-4ebc-4a2c-9538-ae067f810db8,,7549db82-e2a1-4c9b-bf2c-93a051032978
31969cd4,medium,170,M,H,Algebra,H.C.,Linear equations in two variables,,070001-DC,758966a7-6983-448a-b17e-45537d05ab2f
02f43062,medium,171,M,H,Algebra,H.B.,Linear functions,,111502-DC,7632b849-68b9-4166-8ca3-92d4e0049864
8277e954,medium,172,M,H,Algebra,H.C.,Linear equations in two variables,beac2908-af0f-48bb-8ea9-9c28868d7870,,7654b422-fbc9-4104-8f3a-43e4b662c7b0
baf2d20f,medium,173,M,P,Advanced Math,P.A.,Equivalent expressions,7f576028-84a8-4a35-94fc-86842be1918f,,77f54f72-9573-471b-b177-4dfd1597d318
7fe2f523,medium,174,M,P,Advanced Math,P.C.,Nonlinear functions,,107001-DC,77ffac48-6a22-492b-87e6-2f68c1a24a31
e94a8c71,medium,175,M,P,Advanced Math,P.A.,Equivalent expressions,ad6ef462-595a-4949-b836-bb9ac272aa48,,781b038d-2b57-4f6c-81de-c450e4ef9132
77f67263,medium,176,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,079207-DC,78e4e46e-ed43-4546-ae54-a4b77803829d
f7899a02,medium,177,M,P,Advanced Math,P.C.,Nonlinear functions,295e68b0-85f6-4be1-9a0b-45a55e3ae7bc,,79ada216-c498-475d-97a4-21d6bd0ccf19
f645f222,medium,178,M,P,Advanced Math,P.A.,Equivalent expressions,,097007-DC,79f0add0-c2ac-4ec8-b04f-a736ad62de6a
90b94baf,medium,179,M,P,Advanced Math,P.A.,Equivalent expressions,ded04395-2466-443d-8766-5a955e5a106f,,7a911b84-ff22-463f-811b-3b27fbc895e8
2f402ced,medium,180,M,P,Advanced Math,P.C.,Nonlinear functions,d7108e8e-c952-4f3a-b056-66a2c086117d,,7aca16d8-47ea-4af8-9ab3-7ebd196bd9eb
b28f20ae,medium,181,M,P,Advanced Math,P.C.,Nonlinear functions,df585e75-1fe6-42a1-bf3b-77fd2c71537a,,7b248a77-6905-4c2f-b04d-b0e42d8e9bbc
f53a2dbd,medium,182,M,P,Advanced Math,P.A.,Equivalent expressions,,096509-DC,7b7f4718-80bf-4a17-9b57-ce83cf0b1507
65601864,medium,183,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,106507-DC,7beea14b-46a2-41f2-afc7-0d3c96211cb9
207402e3,medium,184,M,P,Advanced Math,P.C.,Nonlinear functions,7d987c2e-e9f3-4861-b28c-9f5027a23fcf,,7c0b3cb8-a694-4f9e-a37f-fc7ff05ecb74
86011ff4,medium,185,M,P,Advanced Math,P.A.,Equivalent expressions,30bc6b41-e65e-4d23-80fe-8c9b7907e837,,7c20693f-7f1e-43b3-9b0c-aa4c11be0dc4
2c0464c0,medium,186,M,P,Advanced Math,P.A.,Equivalent expressions,9da40371-266f-4eae-a13a-b58d62790205,,7c49d0e5-3ce7-4c15-b1d7-585c0d5797b5
ac9d1f02,medium,187,M,P,Advanced Math,P.C.,Nonlinear functions,545ac136-01db-4a81-8e70-a8819e0e5e5a,,7d30c004-83ee-4eca-9e5f-a4e6bf2e50e4
665ff569,medium,188,M,P,Advanced Math,P.C.,Nonlinear functions,7ac15898-31e5-454e-8121-3e9779cfbbb5,,7d645737-17c5-47a0-a29b-4e30d3d2c175
b7594ed2,medium,189,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,8454aa98-6c06-4cd8-8ed0-fef97437ee84,,7f9c3f85-1ecf-4c7a-a59a-2a8bcdbfc4cb
e2766e03,medium,190,M,P,Advanced Math,P.A.,Equivalent expressions,64a0df3e-721a-438a-aa3b-fec03911e0dc,,7fe117ad-03a4-4fe6-a4c1-cdfc6fc458e1
1cae9889,medium,191,M,P,Advanced Math,P.A.,Equivalent expressions,,061201-DC,7ffde952-70c1-42b2-8bbd-c95958585e0b
9a0d4b28,medium,192,M,P,Advanced Math,P.C.,Nonlinear functions,718cb178-bda5-447e-9a2f-1d2041a5996e,,807b3f2d-8673-435c-b99a-bec750526349
220c77a7,medium,194,M,P,Advanced Math,P.A.,Equivalent expressions,490a8efc-3db5-4c9d-868a-3dc98dbe64ca,,81d80616-d331-42c3-9311-a1913b228e28
5e0d65bc,medium,195,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,0c0bb438-98d0-435e-a5e0-82cb5b163bf1,,832fb4e0-5dc4-4873-9c90-e78399bfcb89
7c528919,medium,196,M,P,Advanced Math,P.C.,Nonlinear functions,53f9ec27-ae07-4714-8a98-3865a0c4fc26,,83698d59-0e11-4136-abd6-3b34d1122878
6bd70bc0,medium,197,M,P,Advanced Math,P.C.,Nonlinear functions,,096312-DC,83aeaf1f-dd23-4c30-8235-b160511f5fe6
c99b0755,medium,198,M,P,Advanced Math,P.A.,Equivalent expressions,75ccb784-6ccd-4818-ab2f-ebd6af4e3644,,83d6a35d-b7a0-4537-b57f-6f94837adefd
36f66cdb,medium,199,M,P,Advanced Math,P.A.,Equivalent expressions,99f450be-a0c1-40e6-8487-031baec5dd14,,84478b33-a3b7-4790-a8e8-8cfb898030a5
8263e4af,medium,200,M,P,Advanced Math,P.C.,Nonlinear functions,0010fd5a-f86a-47a0-b21a-9a77b5801189,,846664a7-2730-4402-b172-813bcba18764
8b533838,medium,201,M,P,Advanced Math,P.C.,Nonlinear functions,,083307-DC,84c7917c-b125-4813-8ff9-6d1f609ab688
87c18996,medium,202,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,4938e245-27d8-44ee-94c6-c5cf6f18f90e,,84ec7e37-e226-4dd2-86d1-687cb56d853f
b48497a8,medium,203,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,077201-DC,85263567-0e89-4a17-a207-ed418cfa62d9
ca5f7d9f,medium,204,M,P,Advanced Math,P.C.,Nonlinear functions,8ad4eb9c-7666-43ea-bb52-72da59d17440,,85edafc3-96ef-4a85-aa36-2d869f522a1b
6b6b2b53,medium,205,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,071706-DC,86bccda1-c7fc-4922-9bc4-f581f8521cee
abfbf50b,medium,206,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,088609-DC,876e56b0-9ef1-4dc8-98f0-046bce5f97e4
bc6a9231,medium,207,M,P,Advanced Math,P.C.,Nonlinear functions,00cbf671-6d8b-4469-91e0-219687bc3edb,,8832f8d3-5395-420a-9501-6bf162f475c2
c315abfd,medium,208,M,P,Advanced Math,P.A.,Equivalent expressions,4c4e2869-eed3-4764-ad2a-39c8be98e731,,885bd86f-e5a3-4a79-b135-03a9bc1e4032
56c855c5,medium,209,M,P,Advanced Math,P.A.,Equivalent expressions,,088610-DC,887bd947-199a-4683-a932-b55be30a7c58
6246b476,medium,210,M,P,Advanced Math,P.A.,Equivalent expressions,14b60c3e-4b3f-4cf3-9fac-12cb645dd636,,8a4238af-d0c3-4308-a1c9-872114817d05
6f9f5102,medium,211,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,101303-DC,8b3ac4b7-33b2-40c3-a1ad-38cd9d2cbf58
f5ea643c,medium,212,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,73401869-7623-492f-833c-e895372d3031,,8b548276-fe05-41b7-b485-276c137ce737
5804aad0,medium,213,M,P,Advanced Math,P.C.,Nonlinear functions,4dad5348-6bef-45a7-9a17-cd57dfa71383,,8b6b01e3-63a7-4769-bce3-0e9b51cc24ed
c3b0cc81,medium,214,M,P,Advanced Math,P.C.,Nonlinear functions,,063109-DC,8baff799-7c67-49e6-b025-e46f3bac3ae8
db75a620,medium,215,M,P,Advanced Math,P.A.,Equivalent expressions,9fd87854-4fb2-4ef8-9386-222f36c88d4a,,8bf4043f-bdf8-4353-8d03-07d061692888
ff0e63cc,medium,216,M,P,Advanced Math,P.A.,Equivalent expressions,,054812-DC,8bfd0443-2749-4c05-9dda-be4c0f88e83c
2f8cbacf,medium,217,M,P,Advanced Math,P.A.,Equivalent expressions,,093204-DC,8c6c3392-f202-4e51-b00c-538409bc787c
7544b17d,medium,218,M,P,Advanced Math,P.C.,Nonlinear functions,fa894bcb-8fca-4a8b-920d-e45c0c99d73e,,8d03552c-c85c-44ea-8a8a-08c8fabd8516
4a1ba932,medium,219,M,P,Advanced Math,P.C.,Nonlinear functions,427749d3-bc13-4637-b908-2ee34b59557c,,8d86b98c-21e2-4397-98dd-25e9c7a13c48
c0352177,medium,220,M,P,Advanced Math,P.C.,Nonlinear functions,071fed70-2e97-48da-986a-a6e73010b11d,,8e667650-9d12-4f48-a3b3-fcaf5a60993f
86e9e07a,medium,221,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,176c0f9a-63cc-4fc3-a6cd-7334ae0a2288,,8f7fece5-a029-41b4-b4c5-e7db4a507fd8
c8ee70fa,medium,222,M,P,Advanced Math,P.C.,Nonlinear functions,ba155f05-e8a5-497f-b5e6-28bf437b291a,,8fb3ec75-3e53-4c56-9cfd-fc71d03fd1b2
2c72fb3c,medium,223,M,P,Advanced Math,P.A.,Equivalent expressions,,066607-DC,90b15254-5b72-427b-9482-884d662cf45f
b7c77787,medium,224,M,P,Advanced Math,P.C.,Nonlinear functions,fb2ed7d0-22bb-423f-81dd-a551e78f89e2,,92042284-a564-4542-905c-f09c77485c10
23948293,medium,225,M,P,Advanced Math,P.A.,Equivalent expressions,eb050ca6-3ba4-4da0-bce4-716ed734435a,,930734db-8433-4fa3-874c-6308da788a02
f4932b67,medium,226,M,P,Advanced Math,P.C.,Nonlinear functions,,090202-DC,934d5599-3cdd-4e48-bb21-dbf37d1cc239
ab9bc0a3,medium,227,M,P,Advanced Math,P.A.,Equivalent expressions,,064314-DC,9447b881-2cba-4c58-8516-4a2442fb4f1c
81a7b2d1,medium,228,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,640f47d2-e60f-497c-8c70-6b02c57d9d93,,94cfc15b-a9a5-446a-baea-02b775b7cf44
68b7990d,medium,229,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,673e3161-49bf-47f2-b2a0-0c5d3b3cda5f,,95500b4a-e105-4a96-919d-7e03194021b4
d19acf8d,medium,230,M,P,Advanced Math,P.A.,Equivalent expressions,,098709-DC,958b8e7e-7c1d-43f9-bb3e-77f2f4a58ea0
f8fece4e,medium,231,M,P,Advanced Math,P.C.,Nonlinear functions,36bca309-64b1-4a81-87d1-5c3f1d906baa,,97b72e7c-e58f-4ea7-bbc2-9ac733886896
9ea2639c,medium,232,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,421d88e3-93a0-471f-bc2d-c7cfb4cd7410,,98660d5f-5992-4290-bf06-548ba82779a8
e92d9831,medium,233,M,P,Advanced Math,P.C.,Nonlinear functions,54dd554a-2d2b-47ec-8e25-58098094cc11,,986b8ba9-ee3a-43af-bddc-f548cc425bdd
ab36c0c3,medium,234,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,069301-DC,98d66d82-83e8-4410-9152-2da50a808172
6de4be32,medium,235,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,110514-DC,992a26e6-3687-4d08-bf42-bf727e245a49
b354a54d,medium,236,M,P,Advanced Math,P.A.,Equivalent expressions,25d842d2-e63f-4314-93be-162fd6a62ed8,,99619964-970f-492f-80a4-e2cb024dfe49
73274efb,medium,237,M,P,Advanced Math,P.A.,Equivalent expressions,,081003-DC,99e12219-b131-44fb-a63d-7ff19c31f32f
9c4dcf6a,medium,238,M,P,Advanced Math,P.C.,Nonlinear functions,,032406-DC,9a473757-5f52-4630-a161-79c0d7a7d0e7
e36f88b4,medium,239,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,37264020-5b73-4c33-a500-315c4af35fec,,9adbc6c8-2cc7-451b-8968-5c24b0541834
0703e6c7,medium,240,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,120217-DC,9b381537-77e4-44c2-885c-7416e58c781c
c8a25f01,medium,241,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,84d7f73e-4eed-4501-ad51-e3b76d6e9aa0,,9bded17b-ea6f-4756-b36c-6df6b895c92e
9daf430b,medium,242,M,P,Advanced Math,P.C.,Nonlinear functions,714bba98-d014-4184-936e-28bc725f595c,,9c0749d6-ab13-44f7-b909-3e6e0c65c9ea
3406e912,medium,243,M,P,Advanced Math,P.A.,Equivalent expressions,19184c6c-890a-448a-96f4-2fb1c6ca2fd2,,9c6acf9e-2598-4ab7-9e7b-241f2518cc41
c0397e13,medium,244,M,P,Advanced Math,P.C.,Nonlinear functions,,043106-DC,9da0b02d-42b3-4508-9407-fdf7d1cff664
1c5b1de2,medium,245,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,1422aed0-80c7-4141-8b20-0e9405633ba8,,9ff4ed3d-2f32-4eec-9869-5a2802758dc1
9727e1a2,medium,246,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,4c38cf00-1653-4009-838b-8fe77670db1c,,a0b2015b-c2c4-4099-845c-cd0bf8e7116d
a8d2b9a1,medium,247,M,P,Advanced Math,P.C.,Nonlinear functions,,092503-DC,a1d7f112-7c49-4b2b-b34f-a925b1fbd14a
fa9bf72e,medium,248,M,P,Advanced Math,P.C.,Nonlinear functions,,064904-DC,a2c1ae01-d6cd-4e03-98b7-8f53e1c6e21a
6a4760d3,medium,249,M,P,Advanced Math,P.C.,Nonlinear functions,180eeb26-b0c2-4af1-b5d4-38828ca27217,,a2c39e42-62b7-448b-af07-8d29e983c9bb
4c5e6b02,medium,250,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,38833863-7215-4287-8de1-43a36427d193,,a30bd1a3-3b26-4446-82c5-871db3c590a6
b2b59e6c,medium,251,M,P,Advanced Math,P.C.,Nonlinear functions,28aa98b9-a28d-49e4-8a64-1cf83eecc41a,,a3654d79-5917-417c-ab07-542bb395e811
5ca7f7bf,medium,252,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,072406-DC,a3e2852b-983f-4d05-9186-71507237eb34
c186e767,medium,253,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,840e5f42-5312-4c0e-a149-10e8c6682cfd,,a408e61d-a926-4294-b9a7-dc288235ce61
d7e7c9a5,medium,254,M,P,Advanced Math,P.C.,Nonlinear functions,6954b84a-24dc-445d-942d-c91b85e87bed,,a431e29e-f13f-451c-b33a-fbbf28ed7ae1
1687f498,medium,255,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,056106-DC,a525a97f-ecda-4bdd-976b-7ccc01e50b02
718cf75a,medium,256,M,P,Advanced Math,P.C.,Nonlinear functions,3e697924-4aa8-4e80-8a43-1f9b8dbd143f,,a64c6831-774c-4931-b463-741e14128246
1ed8c247,medium,257,M,P,Advanced Math,P.A.,Equivalent expressions,5105e2f4-a838-4685-b37c-35b7f28f6f25,,a674b01e-f15f-42a5-9776-4c32a80076bd
a055d683,medium,258,M,P,Advanced Math,P.C.,Nonlinear functions,,100601-DC,a690360d-11b7-4e7e-b725-297d42b8e53a
ee679412,medium,259,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,642ca09c-14fe-4a6b-b75d-7c988381e8a3,,a6aeaa26-ac51-4d56-92d4-abf3f4399e88
039cb05d,medium,260,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,066609-DC,a6ba8edf-37c2-493b-bbd4-f7ac14bb9fca
86442601,medium,261,M,P,Advanced Math,P.C.,Nonlinear functions,,065411-DC,a6cb26f0-bebe-41bf-9a1a-75e9620ddd6b
47e6df56,medium,262,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,32a1c641-2374-43d9-8129-a84e011b77a0,,a8cb1c34-37a9-4838-844c-a8d064942b47
ad2219cf,medium,263,M,P,Advanced Math,P.A.,Equivalent expressions,,087505-DC,a951726d-5cff-483c-b6ae-e53fc5f7542e
dcc8b3df,medium,264,M,P,Advanced Math,P.C.,Nonlinear functions,6d79b735-9760-4ae2-b565-dd6b8519605e,,a99bb5ec-cadc-47e3-9fbd-d48105929387
76be28b0,medium,265,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,115408-DC,aa182f84-0955-4461-9896-2fa611868fac
3c3a37a9,medium,266,M,P,Advanced Math,P.C.,Nonlinear functions,825f9e02-2f5f-4759-9e14-096e1dd9d990,,aa763b5a-eb09-43d4-a250-e5bfb52acbbc
6cb530c9,medium,267,M,P,Advanced Math,P.A.,Equivalent expressions,,085911-DC,aac35bad-c3a5-4fba-8334-b7049f857a73
b4ae9e1d,medium,268,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,8a7f063b-b40e-4fc1-b80b-eb8997bbbda1,,ab405a35-8f6f-4e9e-9693-fc4b4516cb28
4d06e77a,medium,269,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,21ab956b-6903-481e-8d70-5fa214f11718,,ac570747-a9c5-42d4-8ace-2de442247b8f
3721bc65,medium,270,M,P,Advanced Math,P.C.,Nonlinear functions,,085408-DC,ae08534a-52c8-4d93-975c-8079f70a68eb
5417e7cf,medium,271,M,P,Advanced Math,P.C.,Nonlinear functions,,108201-DC,ae38d9e9-8400-4bde-8111-a9e429e8363f
65744e72,medium,272,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,032602-DC,aef9c1da-4c99-4f86-90b8-83bdf1bdce33
c9e45004,medium,273,M,P,Advanced Math,P.A.,Equivalent expressions,1ed3335e-f4c0-4c66-8989-0a6f2e1c2823,,af6668b5-023a-4230-b533-02c35e693e2c
0b7a5232,medium,274,M,P,Advanced Math,P.C.,Nonlinear functions,3cbc3790-50ae-48c5-a6c3-a81cff975fc2,,b02a27a5-7429-4171-8e0e-9672223b760b
65c56e54,medium,275,M,P,Advanced Math,P.C.,Nonlinear functions,,058610-DC,b070f69a-4a1e-4d07-8e49-9b9a05efc09f
c4763af2,medium,276,M,P,Advanced Math,P.A.,Equivalent expressions,c734ea6c-10f8-4e2a-8b93-d7b4cb85ced1,,b09008c4-59ca-4a6e-bf45-29bfaf0d0a7c
99e99b9a,medium,277,M,P,Advanced Math,P.C.,Nonlinear functions,364d4a6d-8012-46eb-9162-eb42f49a327f,,b0ec46af-e489-455f-8190-e24bbdc325c6
91fb2a31,medium,278,M,P,Advanced Math,P.C.,Nonlinear functions,6130e797-7d99-4a0b-8c6c-ee896993bfb3,,b0f0f088-8223-40fa-92d0-2da2d5edc679
54658b9e,medium,279,M,P,Advanced Math,P.C.,Nonlinear functions,,029509-DC,b0f74782-8040-48e6-a090-53616236b0ba
f72224f7,medium,280,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,5a33949f-98fa-4f9a-b6c1-e4e9c95b1d94,,b11244d8-df11-409c-8bb0-cec37fffe216
905a9974,medium,281,M,P,Advanced Math,P.C.,Nonlinear functions,,059903-DC,b13f83ba-685f-4164-b7d8-cf476e6e1e41
9a2e3c47,medium,282,M,P,Advanced Math,P.C.,Nonlinear functions,20bec203-40f8-4115-b89b-06b0465d8723,,b19f4ff1-f864-47aa-984f-750c1e28a0f5
4492ca94,medium,283,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,033107-DC,b1de1c16-47f5-4bf6-95c7-41925610f3ee
e5e0d5c6,medium,284,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,ba78cebb-e52e-4447-8a9c-0f0b739f4ea2,,b1fa91cd-9b42-4077-b7ac-6bc59b00f864
4d2f3f48,medium,285,M,P,Advanced Math,P.C.,Nonlinear functions,af76a4d8-20e4-4c01-80d7-6ff40fe2404d,,b2940929-2213-4aa2-8dbd-1272885a5a0e
e0d3cf70,medium,286,M,P,Advanced Math,P.C.,Nonlinear functions,,074407-DC,b2e1f302-fec0-4ccc-bad0-b35e2eb9ef67
b8d977a3,medium,287,M,P,Advanced Math,P.A.,Equivalent expressions,373bc9c8-b97e-4f49-bb57-4f2437905ee2,,b35fa962-2b3d-4e24-8dc5-a4f6e07e279a
e97b57f7,medium,288,M,P,Advanced Math,P.C.,Nonlinear functions,304c0980-156a-41f1-8edb-546c482a54ea,,b4956460-e506-40c2-8b28-fbed94e3710f
47b6b5ce,medium,289,M,P,Advanced Math,P.A.,Equivalent expressions,,059011-DC,b6048d7d-18fc-4806-bbbf-8b502ebee6cc
9792fa85,medium,290,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,241b2442-3f7a-4de4-941a-1a621094f3b3,,b67b2618-371a-4741-80bc-35a77e0d5b2a
a71ece1e,medium,291,M,P,Advanced Math,P.A.,Equivalent expressions,42e67f6e-b4d2-4765-9223-1d77e2a8fa13,,b90c0ad5-813f-4f7a-96b0-a4cd3639bc2d
67abb59e,medium,292,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,045208-DC,b9c78b66-1db9-4f9b-b5dc-fd868ba83d53
052fbd2e,medium,293,M,P,Advanced Math,P.C.,Nonlinear functions,,084210-DC,b9d255b3-a522-447a-810f-f01270862ab7
bc8a2a5f,medium,294,M,P,Advanced Math,P.C.,Nonlinear functions,,063302-DC,ba68ae36-d32f-4f57-8058-d27247b79877
128a8c84,medium,295,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,039004-DC,bd9ae1b6-4c15-4d94-892c-f9c2e03bce10
df605c40,medium,298,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,27350645-7bde-4583-b7a9-1af07d2f45a6,,beb86170-9327-4535-b5af-823fe85979fc
2cefe681,medium,299,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,5f21f52b-dfa4-4085-934d-7bdb60d47dd2,,c037a9a0-8cb1-4cb8-b96b-50431436a460
8b67b8b4,medium,300,M,P,Advanced Math,P.A.,Equivalent expressions,97e57ba9-d48e-4408-b5d7-c12e53f456b4,,c166ec2e-dc3b-4ae1-8784-cfd7d7c35c7e
d9b9918a,medium,301,M,P,Advanced Math,P.C.,Nonlinear functions,,031812-DC,c2ae6f2c-20bc-4e11-8237-8018cab50f7f
a7fe2f70,medium,302,M,P,Advanced Math,P.C.,Nonlinear functions,8495b3b9-32b1-4f19-a6a8-9f5c63634931,,c319e987-3a2d-477b-895a-3e0d625f7fb5
1f1e3169,medium,303,M,P,Advanced Math,P.A.,Equivalent expressions,,068107-DC,c44fe0c0-847f-4d30-88c3-24da4b6760e0
3dadcbb6,medium,304,M,P,Advanced Math,P.C.,Nonlinear functions,,048410-DC,c4604b9d-c215-4629-8887-1f033170279f
b01a905c,medium,305,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,3d76656e-4c26-4f89-a557-0db11772ee54,,c4d20929-5a37-4342-991a-cd2b514b0618
dde7496a,medium,306,M,P,Advanced Math,P.A.,Equivalent expressions,1c6b2c52-b2cb-475a-98b0-29f7869f8011,,c4fa1769-6204-477f-854f-581a410d7686
f865d5ee,medium,307,M,P,Advanced Math,P.A.,Equivalent expressions,,038909-DC,c5207533-b544-41fa-97e1-18da3f3df0ec
692aec43,medium,308,M,P,Advanced Math,P.C.,Nonlinear functions,62a71287-2a40-45e9-a9e3-1eb95ec71107,,c5bce03d-9b7a-430d-9fe1-e2fc05c8a048
b0bd0a2c,medium,309,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,039503-DC,c5dbca32-358d-4454-a5bc-6bcf86bf81f7
415faec5,medium,310,M,P,Advanced Math,P.A.,Equivalent expressions,,057904-DC,c794460d-31f8-4f68-a784-cb36cc897795
1e8c8764,medium,311,M,P,Advanced Math,P.C.,Nonlinear functions,41b15372-ff4b-4721-b2de-b6bf0b20e704,,c99dd16b-c01b-4de7-a25c-39da95315af8
8f899848,medium,312,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,083501-DC,ca14a32c-4789-48de-8458-12eec768c943
bef4b1c6,medium,313,M,P,Advanced Math,P.A.,Equivalent expressions,750b7b25-473d-4b09-8086-a5f8e5d33f36,,cac33540-ab2a-4e38-94eb-aa62447acd11
97b1a090,medium,314,M,P,Advanced Math,P.C.,Nonlinear functions,45c720b0-fc33-4a81-aec8-272a680cbd6a,,cb039bdf-21f0-4d77-b923-f3ab634a1667
5e3d66bc,medium,315,M,P,Advanced Math,P.C.,Nonlinear functions,c94336cb-1d93-46bb-8ee2-a448dc731d60,,cbad9336-aeaa-4a11-befc-a8105cab417f
68c18b39,medium,316,M,P,Advanced Math,P.C.,Nonlinear functions,,094406-DC,cc1dc414-923a-48f5-9805-58013cd0b8f2
f2b82d07,medium,317,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,,099105-DC,cc32c027-cb05-47b4-9468-b7343f1e660c
399e776d,medium,318,M,P,Advanced Math,P.A.,Equivalent expressions,5a80c274-faba-4058-b26c-cf9722a18fc1,,cc333ac4-bfcf-41d2-978c-9ff5b24eefbc
4569a4af,medium,319,M,P,Advanced Math,P.A.,Equivalent expressions,a1527cca-a2a3-4af8-877b-37e34d4e9897,,ccc2a51f-477e-42af-b5f2-4103990dc60b
b650440a,medium,320,M,P,Advanced Math,P.A.,Equivalent expressions,,042907-DC,cd069789-5509-4e7c-840b-901350731dac
19bd6f20,medium,321,M,P,Advanced Math,P.A.,Equivalent expressions,472f0d9a-2413-4211-b983-d5abccbcab1f,,cd4e74ba-2e91-4839-9358-13c5426eacb0
e0f1e4b6,medium,322,M,P,Advanced Math,P.B.,Nonlinear equations in one variable and systems of equations in two variables,64e38f73-379a-4a75-879f-c1b1d265a778,,cde9fc2a-bcd8-47ba-8d9a-5f9b0254cbee
0b8e1846,medium,323,M,P,Advanced Math,P.A.,Equivalent expressions,,044202-DC,ce1595dc-9bd1-4d84-8f54-81005de0523f
98ecba1c,medium,324,M,P,Advanced Math,P.C.,Nonlinear functions,5eb7b04a-66b7-4c7b-9d30-7a2247597a18,,cec2f26f-d645-4f85-a786-a79c1973499f
b4b5d567,medium,325,M,P,Advanced Math,P.C.,Nonlinear functions,2e0b4c96-d408-442b-ab8a-e353d8c16e2f,,cf7fbd7d-e961-4850-b128-e4c183c079f3
802d1076,medium,326,M,P,Advanced Math,P.C.,Nonlinear functions,6c029f4a-8913-4fca-b0d2-6fa90f829020,,d0a2fddc-20f8-4ea9-9180-d7e9c76e9e1d
365d93c6,medium,327,M,P,Advanced Math,P.A.,Equivalent expressions,bc3c1775-4e57-4c04-bdd9-871630b8c854,,d14f6ad1-5b0b-42e2-bd51-9e60cb97a6b7
0113cf83,medium,328,M,P,Advanced Math,P.A.,Equivalent expressions,cf49f178-10ac-4b52-b837-970a705fdedc,,d1769828-2a67-43fc-9327-788471084051
